year,region,type,fishery,CWT_catch
1975,CCST,Commercial,Net,1433.58
1975,CCST,Rec,Rec,14.77
1975,CCST,Commercial,Troll,1084.34
1975,ISC,Commercial,Net,3145.67
1975,ISC,Other,Other,288.68
1975,ISC,Rec,Rec,17323.57
1975,ISC,Commercial,Troll,3840.82
1975,NCST,Commercial,Net,236.74
1975,NCST,Other,Other,396.37
1975,NCST,Commercial,Troll,1807.4
1975,WCVI,Commercial,Net,472.96999999999997
1975,WCVI,Rec,Rec,890.47
1975,WCVI,Commercial,Troll,534.43
1976,CCST,Commercial,Net,1568.1299999999999
1976,CCST,Commercial,Troll,1997.78
1976,ISC,Commercial,Net,3251.45
1976,ISC,Other,Other,18.79
1976,ISC,Rec,Rec,17072.83
1976,ISC,Commercial,Troll,7420.78
1976,NCST,Commercial,Net,205.45
1976,NCST,Other,Other,301.05
1976,NCST,Commercial,Troll,2900.58
1976,WCVI,Commercial,Net,346.26
1976,WCVI,Rec,Rec,2917.59
1976,WCVI,Commercial,Troll,3280.09
1977,CCST,Commercial,Net,8926.45
1977,CCST,Rec,Rec,10.29
1977,CCST,Commercial,Troll,6505.22
1977,ISC,Commercial,Net,4129.82
1977,ISC,Rec,Rec,13791.24
1977,ISC,Commercial,Troll,7472.1500000000005
1977,NCST,Commercial,Net,3727.77
1977,NCST,Other,Other,3.45
1977,NCST,Commercial,Troll,5871.94
1977,WCVI,Commercial,Net,540.16
1977,WCVI,Rec,Rec,5368.83
1977,WCVI,Commercial,Troll,6792.16
1978,CCST,Commercial,Net,4832.79
1978,CCST,Rec,Rec,48.01
1978,CCST,Commercial,Troll,7036.46
1978,ISC,Commercial,Net,14549.25
1978,ISC,Rec,Rec,32484.52
1978,ISC,Commercial,Troll,15880.7
1978,NCST,Commercial,Net,250.20999999999998
1978,NCST,Commercial,Troll,8454.55
1978,WCVI,Commercial,Net,5368.81
1978,WCVI,Rec,Rec,6251.25
1978,WCVI,Commercial,Troll,6996.12
1979,CCST,Commercial,Net,8145.52
1979,CCST,Rec,Rec,66.88
1979,CCST,Commercial,Troll,11886.66
1979,ISC,Commercial,Net,8357.31
1979,ISC,Other,Other,878.73
1979,ISC,Rec,Rec,24204.94
1979,ISC,Commercial,Troll,28795.73
1979,NCST,Commercial,Net,5470.94
1979,NCST,Other,Other,65.36
1979,NCST,Rec,Rec,257.92
1979,NCST,Commercial,Troll,12974.09
1979,WCVI,Commercial,Net,993.98
1979,WCVI,Rec,Rec,5416.25
1979,WCVI,Commercial,Troll,10099.970000000001
1980,CCST,Commercial,Net,7593.59
1980,CCST,Rec,Rec,1327.17
1980,CCST,Commercial,Troll,12973.38
1980,ISC,Commercial,Net,6209.23
1980,ISC,Other,Other,19.009999999999998
1980,ISC,Rec,Rec,21826.31
1980,ISC,Commercial,Troll,16776.43
1980,NCST,Commercial,Net,4484.8
1980,NCST,Other,Other,86.81
1980,NCST,Rec,Rec,4.15
1980,NCST,Commercial,Troll,13659.68
1980,WCVI,Commercial,Net,15863.85
1980,WCVI,Rec,Rec,4473.67
1980,WCVI,Commercial,Troll,16074.24
1981,CCST,Commercial,Net,4193.87
1981,CCST,Rec,Rec,1185.12
1981,CCST,Commercial,Troll,9413.87
1981,ISC,Commercial,Net,6782.9
1981,ISC,Other,Other,32.83
1981,ISC,Rec,Rec,29658.03
1981,ISC,Commercial,Troll,11520.24
1981,NCST,Commercial,Net,4929.43
1981,NCST,Rec,Rec,92.5
1981,NCST,Commercial,Troll,15478.17
1981,WCVI,Commercial,Net,12918.48
1981,WCVI,Rec,Rec,5191.71
1981,WCVI,Commercial,Troll,6503.53
1982,CCST,Commercial,Net,8109.22
1982,CCST,Rec,Rec,190.55
1982,CCST,Commercial,Troll,11367.66
1982,ISC,Commercial,Net,11494.91
1982,ISC,Other,Other,4.19
1982,ISC,Rec,Rec,15928.1
1982,ISC,Commercial,Troll,13309.3
1982,NCST,Commercial,Net,6463.98
1982,NCST,Rec,Rec,59.86
1982,NCST,Commercial,Troll,24123.56
1982,WCVI,Commercial,Net,20358.94
1982,WCVI,Rec,Rec,9800.64
1982,WCVI,Commercial,Troll,11097.4
1983,CCST,Commercial,Net,5149.67
1983,CCST,Rec,Rec,348.67
1983,CCST,Commercial,Troll,8931.1
1983,ISC,Commercial,Net,12576.2
1983,ISC,Other,Other,145.69
1983,ISC,Rec,Rec,24576.78
1983,ISC,Commercial,Troll,19789.68
1983,NCST,Commercial,Net,4674.41
1983,NCST,Rec,Rec,188.21
1983,NCST,Commercial,Troll,20075.26
1983,WCVI,Commercial,Net,22034.69
1983,WCVI,Rec,Rec,5506.05
1983,WCVI,Commercial,Troll,8498.4
1984,CCST,Commercial,Net,1890.62
1984,CCST,Rec,Rec,395.71
1984,CCST,Commercial,Troll,5284.17
1984,ISC,Commercial,Net,8323.42
1984,ISC,Other,Other,250.61
1984,ISC,Rec,Rec,44193.39
1984,ISC,Commercial,Troll,15246.95
1984,NCST,Commercial,Net,6886.35
1984,NCST,Rec,Rec,140.2
1984,NCST,Commercial,Troll,20026.83
1984,WCVI,Commercial,Net,20685
1984,WCVI,Rec,Rec,6310.05
1984,WCVI,Commercial,Troll,18745.67
1985,CCST,Commercial,Net,4286.54
1985,CCST,Rec,Rec,167.83
1985,CCST,Commercial,Troll,1997.58
1985,ISC,Commercial,Net,9807.07
1985,ISC,Rec,Rec,29054.14
1985,ISC,Commercial,Troll,4958.63
1985,NCST,Commercial,Net,6312.01
1985,NCST,Rec,Rec,210.61
1985,NCST,Commercial,Troll,18830.13
1985,WCVI,Commercial,Net,3273.87
1985,WCVI,Rec,Rec,2364.04
1985,WCVI,Commercial,Troll,10450.8
1986,CCST,Commercial,Net,12800.57
1986,CCST,Rec,Rec,799.17
1986,CCST,Commercial,Troll,3704.77
1986,ISC,Commercial,Net,8233.19
1986,ISC,Other,Other,84.63
1986,ISC,Rec,Rec,30902.31
1986,ISC,Commercial,Troll,11846.28
1986,NCST,Commercial,Net,3994.06
1986,NCST,Rec,Rec,626.6999999999999
1986,NCST,Commercial,Troll,8090.18
1986,WCVI,Commercial,Net,1842.8700000000001
1986,WCVI,Rec,Rec,3086.38
1986,WCVI,Commercial,Troll,9633.949999999999
1987,CCST,Commercial,Net,4019.45
1987,CCST,Rec,Rec,1338.48
1987,CCST,Commercial,Troll,3837.23
1987,ISC,Commercial,Net,5014.57
1987,ISC,Rec,Rec,21711.36
1987,ISC,Commercial,Troll,7539.01
1987,NCST,Commercial,Net,4660.83
1987,NCST,Other,Other,12.629999999999999
1987,NCST,Rec,Rec,334.9
1987,NCST,Commercial,Troll,10469.28
1987,WCVI,Commercial,Net,164.17
1987,WCVI,Rec,Rec,7432.57
1987,WCVI,Commercial,Troll,8723.19
1988,CCST,Commercial,Net,5251.84
1988,CCST,Rec,Rec,2419.35
1988,CCST,Commercial,Troll,2641.54
1988,ISC,Commercial,Net,3661.77
1988,ISC,Rec,Rec,19767.82
1988,ISC,Commercial,Troll,3869.9
1988,NCST,Commercial,Net,4583.89
1988,NCST,Other,Other,56.45
1988,NCST,Rec,Rec,1956.78
1988,NCST,Commercial,Troll,12584.37
1988,WCVI,Commercial,Net,8464.24
1988,WCVI,Rec,Rec,17239.16
1988,WCVI,Commercial,Troll,12043.66
1989,CCST,Commercial,Net,1292.66
1989,CCST,Rec,Rec,4652.58
1989,CCST,Commercial,Troll,4538.76
1989,ISC,Commercial,Net,12416.15
1989,ISC,Other,Other,848.43
1989,ISC,Rec,Rec,24656.7
1989,ISC,Commercial,Troll,1756.66
1989,NCST,Commercial,Net,6199.29
1989,NCST,Other,Other,6.85
1989,NCST,Rec,Rec,3324.04
1989,NCST,Commercial,Troll,22819.9
1989,WCVI,Commercial,Net,36459.32
1989,WCVI,Rec,Rec,35912.38
1989,WCVI,Commercial,Troll,9991.960000000001
1990,CCST,Commercial,Net,9510.78
1990,CCST,Rec,Rec,2248.2
1990,CCST,Commercial,Troll,6303.23
1990,ISC,Commercial,Net,12052.81
1990,ISC,Rec,Rec,21804.62
1990,ISC,Commercial,Troll,7023.19
1990,NCST,Commercial,Net,7486.79
1990,NCST,Rec,Rec,4960.06
1990,NCST,Commercial,Troll,36235.69
1990,WCVI,Commercial,Net,26267.18
1990,WCVI,Rec,Rec,34912.75
1990,WCVI,Commercial,Troll,24999.82
1991,CCST,Commercial,Net,4916.72
1991,CCST,Rec,Rec,3487.94
1991,CCST,Commercial,Troll,11701.03
1991,ISC,Commercial,Net,13519.11
1991,ISC,Other,Other,298.48
1991,ISC,Rec,Rec,36497.93
1991,ISC,Commercial,Troll,10444.98
1991,NCST,Commercial,Net,6976.75
1991,NCST,Rec,Rec,5294.77
1991,NCST,Commercial,Troll,43319.71
1991,WCVI,Commercial,Net,45772.5
1991,WCVI,Rec,Rec,48725.28
1991,WCVI,Commercial,Troll,30521.95
1992,CCST,Commercial,Net,6390.46
1992,CCST,Rec,Rec,4548.29
1992,CCST,Commercial,Troll,12357.26
1992,ISC,Commercial,Net,6914.6
1992,ISC,Rec,Rec,39760.14
1992,ISC,Commercial,Troll,19581.74
1992,NCST,Commercial,Net,4855.33
1992,NCST,Other,Other,1392.41
1992,NCST,Rec,Rec,5862.64
1992,NCST,Commercial,Troll,32500.329999999998
1992,WCVI,Commercial,Net,6157.06
1992,WCVI,Rec,Rec,32871.06
1992,WCVI,Commercial,Troll,89519.47
1993,CCST,Commercial,Net,3034.36
1993,CCST,Rec,Rec,4447.04
1993,CCST,Commercial,Troll,6500.07
1993,ISC,Commercial,Net,11834.19
1993,ISC,Rec,Rec,37293.83
1993,ISC,Commercial,Troll,10433.25
1993,NCST,Commercial,Net,7139.51
1993,NCST,Rec,Rec,4449.91
1993,NCST,Commercial,Troll,28708.83
1993,WCVI,Commercial,Net,23020.05
1993,WCVI,Rec,Rec,59140.75
1993,WCVI,Commercial,Troll,57152.39
1994,CCST,Commercial,Net,6313.45
1994,CCST,Rec,Rec,1517.15
1994,CCST,Commercial,Troll,2797.34
1994,ISC,Commercial,Net,5813.76
1994,ISC,Rec,Rec,16640.4
1994,ISC,Commercial,Troll,6567.6
1994,NCST,Commercial,Net,4109.38
1994,NCST,Other,Other,674.46
1994,NCST,Rec,Rec,4129.59
1994,NCST,Commercial,Troll,21721.13
1994,WCVI,Commercial,Net,16412.489999999998
1994,WCVI,Rec,Rec,42876.78
1994,WCVI,Commercial,Troll,17688.73
1995,CCST,Commercial,Net,5290.51
1995,CCST,Rec,Rec,942.93
1995,CCST,Commercial,Troll,221.29
1995,ISC,Commercial,Net,4181.29
1995,ISC,Rec,Rec,18835.23
1995,ISC,Commercial,Troll,368.02
1995,NCST,Commercial,Net,3464.55
1995,NCST,Other,Other,8.34
1995,NCST,Rec,Rec,5005.76
1995,NCST,Commercial,Troll,4751.72
1995,WCVI,Commercial,Net,3270.92
1995,WCVI,Rec,Rec,17344.79
1995,WCVI,Commercial,Troll,8196.05
1996,CCST,Commercial,Net,3054.84
1996,CCST,Rec,Rec,2818.86
1996,ISC,Commercial,Net,1897.48
1996,ISC,Rec,Rec,29888.62
1996,NCST,Commercial,Net,2983.89
1996,NCST,Rec,Rec,773.51
1996,WCVI,Commercial,Net,10.94
1996,WCVI,Rec,Rec,2824.37
1997,CCST,Commercial,Net,1799.81
1997,CCST,Rec,Rec,3193.87
1997,CCST,Commercial,Troll,2383.63
1997,ISC,Commercial,Net,3036.68
1997,ISC,Rec,Rec,21265.87
1997,ISC,Commercial,Troll,364.03
1997,NCST,Commercial,Net,1657.81
1997,NCST,Other,Other,736.47
1997,NCST,Rec,Rec,4253.41
1997,NCST,Commercial,Troll,6523.96
1997,WCVI,Commercial,Net,4338.5
1997,WCVI,Rec,Rec,25474.25
1997,WCVI,Commercial,Troll,8023.86
1998,CCST,Commercial,Net,2511.88
1998,CCST,Rec,Rec,3935.6
1998,ISC,Commercial,Net,927.73
1998,ISC,Rec,Rec,8756.94
1998,NCST,Commercial,Net,88.17
1998,NCST,Rec,Rec,12515.56
1998,NCST,Commercial,Troll,10752.52
1998,WCVI,Commercial,Net,4242.9400000000005
1998,WCVI,Rec,Rec,37492.96
1998,WCVI,Commercial,Troll,530
1999,CCST,Commercial,Net,1401.56
1999,CCST,Rec,Rec,3826.63
1999,CCST,Commercial,Troll,1238.95
1999,ISC,Commercial,Net,1655.59
1999,ISC,Rec,Rec,17874.18
1999,NCST,Commercial,Net,233.5
1999,NCST,Rec,Rec,9275.79
1999,NCST,Commercial,Troll,4165.73
1999,WCVI,Commercial,Net,2439.9900000000002
1999,WCVI,Rec,Rec,16631.97
1999,WCVI,Commercial,Troll,4820.67
2000,CCST,Commercial,Net,928.96
2000,CCST,Rec,Rec,1709.23
2000,ISC,Commercial,Net,831.0500000000001
2000,ISC,Rec,Rec,8054.06
2000,NCST,Commercial,Net,298.89
2000,NCST,Rec,Rec,3022.8
2000,NCST,Commercial,Troll,62.660000000000004
2000,WCVI,Rec,Rec,6070.6900000000005
2000,WCVI,Commercial,Troll,2061.49
2001,CCST,Commercial,Net,1178.28
2001,CCST,Rec,Rec,2515.79
2001,ISC,Commercial,Net,912.42
2001,ISC,Rec,Rec,16707.25
2001,ISC,Commercial,Troll,16.740000000000002
2001,NCST,Commercial,Net,517.23
2001,NCST,Rec,Rec,2217.67
2001,NCST,Commercial,Troll,212.70999999999998
2001,WCVI,Rec,Rec,5979.73
2001,WCVI,Commercial,Troll,3255.01
2002,CCST,Commercial,Net,900.4
2002,CCST,Rec,Rec,4946.21
2002,CCST,Commercial,Troll,185.04
2002,ISC,Commercial,Net,2350.29
2002,ISC,Rec,Rec,13146.62
2002,ISC,Commercial,Troll,19.42
2002,NCST,Commercial,Net,220
2002,NCST,Rec,Rec,3826.96
2002,NCST,Commercial,Troll,10667.08
2002,WCVI,Commercial,Net,5233.53
2002,WCVI,Rec,Rec,29907.59
2002,WCVI,Commercial,Troll,10418.22
2003,CCST,Rec,Rec,11109.3
2003,ISC,Commercial,Net,1257.63
2003,ISC,Rec,Rec,10105.16
2003,ISC,Commercial,Troll,191.65
2003,NCST,Commercial,Net,204.48
2003,NCST,Rec,Rec,3090.58
2003,NCST,Commercial,Troll,7828.94
2003,WCVI,Commercial,Net,6611.61
2003,WCVI,Rec,Rec,30562.6
2003,WCVI,Commercial,Troll,4339
2004,CCST,Rec,Rec,15045.88
2004,ISC,Commercial,Net,2129.63
2004,ISC,Rec,Rec,9387.14
2004,ISC,Commercial,Troll,36.68
2004,NCST,Commercial,Net,329.22
2004,NCST,Rec,Rec,7360.66
2004,NCST,Commercial,Troll,10605.98
2004,WCVI,Commercial,Net,18422.63
2004,WCVI,Rec,Rec,49394.36
2004,WCVI,Commercial,Troll,10253.9
2005,CCST,Commercial,Net,276.45
2005,CCST,Rec,Rec,19247.06
2005,ISC,Commercial,Net,3108.19
2005,ISC,Rec,Rec,15485.39
2005,NCST,Commercial,Net,95.75
2005,NCST,Rec,Rec,7630.75
2005,NCST,Commercial,Troll,7158
2005,WCVI,Commercial,Net,39007.53
2005,WCVI,Rec,Rec,27376.25
2005,WCVI,Commercial,Troll,8730.73
2006,CCST,Rec,Rec,10084.65
2006,ISC,Commercial,Net,789.43
2006,ISC,Rec,Rec,8266.55
2006,NCST,Commercial,Net,122.09
2006,NCST,Rec,Rec,7353.16
2006,NCST,Commercial,Troll,6900.81
2006,WCVI,Commercial,Net,26689.53
2006,WCVI,Rec,Rec,28874.26
2006,WCVI,Commercial,Troll,4682.57
2007,CCST,Commercial,Net,192.92000000000002
2007,CCST,Rec,Rec,3416.96
2007,ISC,Commercial,Net,662.8000000000001
2007,ISC,Rec,Rec,7057.35
2007,NCST,Commercial,Net,397.2
2007,NCST,Rec,Rec,6318.67
2007,NCST,Commercial,Troll,6314.36
2007,WCVI,Commercial,Net,24072.19
2007,WCVI,Rec,Rec,18530.84
2007,WCVI,Commercial,Troll,2985.58
2008,CCST,Rec,Rec,1450.02
2008,ISC,Commercial,Net,313.91
2008,ISC,Rec,Rec,4139.24
2008,NCST,Commercial,Net,228.6
2008,NCST,Rec,Rec,3357.37
2008,NCST,Commercial,Troll,1777.1
2008,WCVI,Commercial,Net,11189.1
2008,WCVI,Rec,Rec,11550.33
2008,WCVI,Commercial,Troll,5047.05
2009,CCST,Commercial,Net,1808.69
2009,CCST,Rec,Rec,2756.41
2009,ISC,Commercial,Net,1077.79
2009,ISC,Rec,Rec,7075.62
2009,NCST,Commercial,Net,23.93
2009,NCST,Rec,Rec,3665.34
2009,NCST,Commercial,Troll,1638.3500000000001
2009,WCVI,Commercial,Net,2669.44
2009,WCVI,Rec,Rec,9861.47
2009,WCVI,Commercial,Troll,908.04
2010,CCST,Commercial,Net,62.22
2010,CCST,Rec,Rec,1129.85
2010,ISC,Commercial,Net,1279.75
2010,ISC,Rec,Rec,10304.06
2010,NCST,Commercial,Net,62.89
2010,NCST,Rec,Rec,3570.18
2010,NCST,Commercial,Troll,1832.93
2010,WCVI,Rec,Rec,4537.48
2010,WCVI,Commercial,Troll,2691.91
2011,CCST,Commercial,Net,1457.24
2011,CCST,Rec,Rec,2817.07
2011,ISC,Commercial,Net,867.55
2011,ISC,Rec,Rec,4876.7699999999995
2011,NCST,Commercial,Net,54.71
2011,NCST,Rec,Rec,4295.4
2011,NCST,Commercial,Troll,2763.35
2011,WCVI,Commercial,Net,9344.44
2011,WCVI,Rec,Rec,14172.88
2011,WCVI,Commercial,Troll,2618.86
2012,CCST,Commercial,Net,1544.67
2012,CCST,Rec,Rec,2098.73
2012,ISC,Commercial,Net,293.51
2012,ISC,Rec,Rec,6630.2
2012,NCST,Rec,Rec,1609.45
2012,NCST,Commercial,Troll,1771.14
2012,WCVI,Commercial,Net,5045.06
2012,WCVI,Rec,Rec,7740.89
2012,WCVI,Commercial,Troll,938.1
2013,CCST,Commercial,Net,2110.59
2013,CCST,Rec,Rec,1046.64
2013,ISC,Commercial,Net,801.45
2013,ISC,Other,Other,242.37
2013,ISC,Rec,Rec,9072.09
2013,NCST,Commercial,Net,9.93
2013,NCST,Rec,Rec,2211.66
2013,NCST,Commercial,Troll,1375.54
2013,WCVI,Rec,Rec,5199.21
2013,WCVI,Commercial,Troll,2129.02
2014,CCST,Commercial,Net,1414.8899999999999
2014,CCST,Rec,Rec,1064.64
2014,ISC,Commercial,Net,1096.91
2014,ISC,Other,Other,451.32
2014,ISC,Rec,Rec,14202.38
2014,NCST,Commercial,Net,1.11
2014,NCST,Rec,Rec,2255.04
2014,NCST,Commercial,Troll,2119.69
2014,WCVI,Commercial,Net,48.56
2014,WCVI,Rec,Rec,5639.11
2014,WCVI,Commercial,Troll,1631.21
2015,CCST,Commercial,Net,3368.82
2015,CCST,Rec,Rec,3464.4
2015,ISC,Commercial,Net,1500.38
2015,ISC,Other,Other,31.79
2015,ISC,Rec,Rec,10513.56
2015,NCST,Commercial,Net,90.4
2015,NCST,Rec,Rec,3816.28
2015,NCST,Commercial,Troll,979.32
2015,WCVI,Commercial,Net,5223.28
2015,WCVI,Rec,Rec,10754.15
2015,WCVI,Commercial,Troll,689.29
2016,CCST,Commercial,Net,1418.1299999999999
2016,CCST,Rec,Rec,4516.56
2016,ISC,Commercial,Net,594.33
2016,ISC,Rec,Rec,12263.22
2016,NCST,Commercial,Net,8.79
2016,NCST,Rec,Rec,5045.4
2016,NCST,Commercial,Troll,2261.35
2016,WCVI,Commercial,Net,4730.13
2016,WCVI,Rec,Rec,11253.19
2016,WCVI,Commercial,Troll,1287.55
2017,CCST,Commercial,Net,1234.38
2017,CCST,Rec,Rec,2222.21
2017,ISC,Commercial,Net,255.74
2017,ISC,Rec,Rec,15205.73
2017,NCST,Commercial,Net,14.36
2017,NCST,Rec,Rec,8545.64
2017,NCST,Commercial,Troll,2270.56
2017,WCVI,Commercial,Net,14266.08
2017,WCVI,Other,Other,1082.35
2017,WCVI,Rec,Rec,20399.579999999998
2017,WCVI,Commercial,Troll,1602.24
2018,CCST,Commercial,Net,2178.08
2018,CCST,Rec,Rec,3296.5
2018,ISC,Commercial,Net,856.11
2018,ISC,Other,Other,1
2018,ISC,Rec,Rec,15883.13
2018,NCST,Commercial,Net,30.32
2018,NCST,Rec,Rec,8718.33
2018,NCST,Commercial,Troll,4774.09
2018,WCVI,Commercial,Net,30305.23
2018,WCVI,Rec,Rec,21206.51
2018,WCVI,Commercial,Troll,2123.08
2019,CCST,Commercial,Net,2095.06
2019,CCST,Rec,Rec,6904.56
2019,ISC,Commercial,Net,492.17
2019,ISC,Rec,Rec,15596.65
2019,NCST,Commercial,Net,14.89
2019,NCST,Rec,Rec,9349.69
2019,NCST,Commercial,Troll,2685.21
2019,WCVI,Commercial,Net,43743.58
2019,WCVI,Rec,Rec,21266.88
2019,WCVI,Commercial,Troll,1316.06
2020,CCST,Commercial,Net,1042.91
2020,CCST,Rec,Rec,3909.65
2020,ISC,Commercial,Net,2155.27
2020,ISC,Rec,Rec,21653.36
2020,NCST,Commercial,Net,19.71
2020,NCST,Rec,Rec,4037.27
2020,NCST,Commercial,Troll,2365.93
2020,WCVI,Commercial,Net,36849.77
2020,WCVI,Rec,Rec,10398.12
2020,WCVI,Commercial,Troll,677.05
